
ALGORITHM FINISHED?: False
('001010', '33.3333333333', 'GENERATION: 6')
('001001', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001001', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001001', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001001', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001001', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001001', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001001', '33.3333333333', 'GENERATION: 6')
('100100', '33.3333333333', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')
('000001', '16.6666666667', 'GENERATION: 6')

ALGORITHM FINISHED?: False
('110111', '83.3333333333', 'GENERATION: 7')
('110111', '83.3333333333', 'GENERATION: 7')
('110111', '83.3333333333', 'GENERATION: 7')
('110111', '83.3333333333', 'GENERATION: 7')
('110111', '83.3333333333', 'GENERATION: 7')
('110111', '83.3333333333', 'GENERATION: 7')
('110111', '83.3333333333', 'GENERATION: 7')
('110111', '83.3333333333', 'GENERATION: 7')
('110111', '83.3333333333', 'GENERATION: 7')
('110111', '83.3333333333', 'GENERATION: 7')
('110111', '83.3333333333', 'GENERATION: 7')
('110111', '83.3333333333', 'GENERATION: 7')
('110111', '83.3333333333', 'GENERATION: 7')
('110111', '83.3333333333', 'GENERATION: 7')
('110111', '83.3333333333', 'GENERATION: 7')
('110111', '83.3333333333', 'GENERATION: 7')
('110111', '83.3333333333', 'GENERATION: 7')
('110111', '83.3333333333', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('110011', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('100111', '66.6666666667', 'GENERATION: 7')
('110011', '66.6666666667', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('110010', '50.0', 'GENERATION: 7')
('100101', '50.0', 'GENERATION: 7')
